"search-number","evaluation","density*","probability-of-spread*","south-wind-speed*","west-wind-speed*","fitness","num-replicates","best-fitness-so-far"
"1","10","75","80","-20","10","121","10","121"
"1","20","50","60","-20","0","0","10","121"
"1","30","75","70","5","10","50.2","10","121"
"1","40","50","55","-20","5","0","10","121"
"1","50","65","60","-5","-5","0","10","121"
"1","60","55","60","10","-15","0","10","121"
"1","70","70","70","25","5","17.5","10","121"
"1","80","55","70","-25","-5","0","10","121"
"1","90","50","80","20","0","0","10","121"
"1","100","60","70","-20","10","0","10","121"
"1","110","80","75","-5","10","146.9","10","146.9"
"1","120","55","70","-25","10","0","10","146.9"
"1","130","75","50","0","-20","0","10","146.9"
"1","140","50","50","-25","-5","0","10","146.9"
"1","150","80","50","-10","-25","0","10","146.9"
"1","160","55","55","10","20","0","10","146.9"
"1","170","50","50","0","-25","0","10","146.9"
"1","180","80","60","10","5","3.7","10","146.9"
"1","190","70","50","10","15","0","10","146.9"
"1","200","75","50","25","-20","0","10","146.9"
"1","210","70","55","10","10","0","10","146.9"
"1","220","65","50","-15","0","0","10","146.9"
"1","230","55","50","-15","-5","0","10","146.9"
"1","240","50","70","-5","-5","0","10","146.9"
"1","250","50","75","10","20","0","10","146.9"
"1","260","70","55","15","-20","0","10","146.9"
"1","270","80","70","20","15","128.9","10","146.9"
"1","280","55","80","-25","-25","0","10","146.9"
"1","290","55","60","-5","5","0","10","146.9"
"1","300","60","55","-25","-10","0","10","146.9"
"1","310","70","75","-15","-15","7.3","10","146.9"
"1","320","50","65","-5","-10","0","10","146.9"
"1","330","55","55","20","-5","0","10","146.9"
"1","340","50","80","-15","20","0","10","146.9"
"1","350","55","65","-5","5","0","10","146.9"
"1","360","50","80","15","10","0","10","146.9"
"1","370","80","80","10","-15","104.2","10","146.9"
"1","380","65","80","-15","-25","0.6","10","146.9"
"1","390","80","50","-25","10","2","10","146.9"
"1","400","50","55","-20","-20","0","10","146.9"
"1","410","65","75","-15","-15","0","10","146.9"
"1","420","75","70","-15","5","46.9","10","146.9"
"1","430","75","50","-5","-10","0","10","146.9"
"1","440","60","65","5","20","0","10","146.9"
"1","450","80","80","-25","-5","125.2","10","146.9"
"1","460","50","50","0","5","0","10","146.9"
"1","470","65","70","-25","-20","0","10","146.9"
"1","480","80","50","0","-20","0","10","146.9"
"1","490","70","50","20","10","0","10","146.9"
"1","500","70","50","-15","25","0","10","146.9"
